TID	Name	RA(longitude)	Dec(latitude)
390	'V* V1550 Ori                      '	83.8712363360260	-5.4862406930533
391	'V* V1432 Ori                      '	83.6219545385728	-5.2443548466996
392	'V* V1694 Ori                      '	83.6741123130127	-4.8961689784033
393	'Parenago 1720                     '	83.7718739773923	-4.8008068945963
394	'V* V1547 Ori                      '	83.8693703996884	-4.7907228601260
395	'Parenago 2162                     '	83.9292689223874	-4.7834275902117
396	'Parenago 2296                     '	84.00127100	-5.57319400
397	'V* V659 Ori                       '	84.2528029582928	-5.4169625243703
398	'ESO-HA 941                        '	83.6147410703919	-5.4745703521602
399	'V* V1941 Ori                      '	83.5754871379213	-5.4759773128145
400	'2MASS J05352522-0529516           '	83.8551028039402	-5.4976947604551
401	'Parenago 1779                     '	83.7982709283376	-4.7760918578374
402	'2MASS J05331491-0530335           '	83.3121914457584	-5.5092843769696
403	'ESO-HA 808                        '	83.3248276307967	-5.3607130402589
404	'2MASS J05333120-0529576           '	83.3800233746211	-5.4993207379386
405	'ESO-HA 834                        '	83.3934816971762	-5.2382125054722
406	'ESO-HA 854                        '	83.4399388988735	-5.0113046591485
407	'V* V1898 Ori                      '	83.4486185566491	-5.4301648087795
408	'2MASS J05334833-0522393           '	83.4514248249748	-5.3775718919558
409	'V* V1902 Ori                      '	83.4614284575151	-5.0109482054797
410	'2MASS J05335414-0503401           '	83.4756064549173	-5.0611494290587
411	'2MASS J05341377-0500041           '	83.5574186271530	-5.0011307393387
412	'ESO-HA 914                        '	83.5681231099150	-4.8241893760145
413	'2MASS J05342125-0450326           '	83.5885785172084	-4.8423959191137
414	'ESO-HA 925                        '	83.59199300	-5.02617500
415	'V* V1678 Ori                      '	83.6052762030625	-4.9110353277260
416	'2MASS J05342743-0500263           '	83.6142998546690	-5.0073136810709
417	'V* V1970 Ori                      '	83.6241176680251	-4.8632371370205
418	'2MASS J05343276-0458467           '	83.6365352225444	-4.9796463352317
419	'ESO-HA 965                        '	83.6467305917696	-4.8978553132290
420	'V* V1991 Ori                      '	83.6499232954428	-4.8716684268256
421	'2MASS J05343772-0448577           '	83.6571725033820	-4.8160181265058
422	'2MASS J05344351-0451364           '	83.6813404080052	-4.8600925436913
423	'V* V2028 Ori                      '	83.6984930843963	-4.8336880814846
424	'V* V1704 Ori                      '	83.7026274945783	-4.7972196002417
425	'2MASS J05350093-0448188           '	83.7538950104685	-4.8052652153374
426	'ESO-HA 1094                       '	83.7709750656405	-4.5425772825889
427	'2MASS J05350724-0450254           '	83.7801937375192	-4.8404234475027
428	'2MASS J05350783-0434522           '	83.7826583103825	-4.5811646561485
429	'V* V1726 Ori                      '	83.7957419357702	-4.7868081718542
430	'V* V2281 Ori                      '	83.8170631378421	-4.4917613944856
431	'V* V2365 Ori                      '	83.8341527606883	-4.6928954127344
432	'CXORRS J053521.0-044538           '	83.8375687500804	-4.7605910924706
433	'ESO-HA 1205                       '	83.8392594302135	-4.7904090116955
434	'V* V2399 Ori                      '	83.8453586072527	-4.6279954796216
435	'V* V2408 Ori                      '	83.8472790704883	-4.6695281426818
436	'ESO-HA 1271                       '	83.8751205165595	-4.5743680067990
437	'V* V1743 Ori                      '	83.8821238868118	-4.6854836863766
438	'V* V2525 Ori                      '	83.8889165898062	-4.8531824109498
439	'ESO-HA 1296                       '	83.8920498742453	-4.5436149271860
440	'2MASS J05354049-0452260           '	83.9187280775018	-4.8739333621285
441	'V* V2610 Ori                      '	83.9632519319265	-4.9410457711984
442	'2MASS J05360086-0442588           '	84.0036113759107	-4.7163544963929
443	'ESO-HA 1430                       '	84.02212000	-4.88787200
444	'2MASS J05361337-0502229           '	84.0557377009054	-5.0397330826420
445	'2MASS J05363739-0510220           '	84.1557973648171	-5.1728049701451
446	'ESO-HA 1439                       '	84.0307726570986	-5.5076434043742
447	'V* V2680 Ori                      '	84.1094925144393	-5.3084043628555
448	'V* V725 Ori                       '	83.4043893336558	-5.3852439884625
449	'ESO-HA 845                        '	83.4194952507709	-5.0128578670919
450	'V* V1665 Ori                      '	83.4232934476446	-4.9333066851625
451	'V* V976 Ori                       '	83.6188581468020	-5.4160825161696
452	'V* V2008 Ori                      '	83.6745167617402	-4.8939605252319
